ds,mode,k,bucket,mean_us,fitted,residual
Trie,baseline,1,short,7.153848,2.736552538561725,-0.7689021448055231
Trie,baseline,20,long,49.09471,3.1542333551097035,0.7395179345789398
Trie,baseline,1,long,7.101775,2.6661090957328852,-0.7057643429304081
Trie,baseline,1,mid,7.311488,2.680159126731596,-0.6907123169132316
Trie,baseline,20,short,49.76561,3.2246767979385433,0.6826473852951302
Trie,baseline,20,mid,44.920215,3.1682833861084143,0.6366045300371059
Patricia,baseline,1,short,7.07409,2.4825634447961042,-0.526124631447437
Trie,cached,20,short,10.36142,2.8581492986599875,-0.520060005584221
Trie,cached,20,long,9.70126,2.7877058558311476,-0.5154500818504668
Patricia,baseline,1,mid,6.885088,2.426170032965975,-0.4968121194581787
